3原文:	金币
139译文:	The zombie torture-murderers part 2
140原文:	僵尸虐杀者部件3
140译文:	3 the zombie torture-murderers parts
141原文:	僵尸虐杀者部件4
141译文:	4 the zombie torture-murderers parts
142原文:	超神虐杀者部件1
142译文:	Super god torture-murderers part 1
143原文:	超神虐杀者部件2
143译文:	Super god torture-murderers part 2
144原文:	超神虐杀者部件3
144译文:	Super god torture-murderers part 3
145原文:	超神虐杀者部件4
145译文:	Super god torture-murderers part 4
146原文:	钢之刃部件1
146译文:	The blade of steel parts 1
147原文:	钢之刃部件2
147译文:	The blade of steel parts 2
148原文:	钢之刃部件3
148译文:	The blade of steel parts 3
149原文:	钢之刃部件4
149译文:	The blade of steel parts 4
150原文:	冰之刃部件1
150译文:	The blade of ice part 1
151原文:	冰之刃部件2
151译文:	The blade of ice part 2
152原文:	冰之刃部件3
152译文:	The blade of ice part 3
153原文:	冰之刃部件4
153译文:	The blade of ice part 4
154原文:	火之刃部件1
154译文:	The blade of fire unit 1
155原文:	火之刃部件2
155译文:	The blade of fire unit 2
156原文:	火之刃部件3
156译文:	The blade of fire unit 3
157原文:	火之刃部件4
157译文:	The blade of fire unit 4
158原文:	影之刃部件1
158译文:	The blade of the shadow part 1
159原文:	影之刃部件2
159译文:	The blade of the shadow part 2
160原文:	影之刃部件3
160译文:	The blade of the shadow part 3
161原文:	影之刃部件4
161译文:	The blade of the shadow part 4
162原文:	魂之刃部件1
162译文:	The soul of the blade part 1
163原文:	魂之刃部件2
163译文:	The soul of the blade part 2
164原文:	魂之刃部件3
164译文:	The soul of the blade part 3
165原文:	魂之刃部件4
165译文:	The soul of the blade part 4
166原文:	USP弹夹
166译文:	USP cartridge
167原文:	左轮弹夹
167译文:	Revolver cartridge
168原文:	黄金沙鹰弹夹
168译文:	Yellow sands eagle cartridge
169原文:	双持MP5弹夹
169译文:	Dual wield't a MP5 cartridge
170原文:	毁灭者弹夹
170译文:	The destroyer cartridge
171原文:	M4A1弹夹
171译文:	M4A1 cartridge
172原文:	AK47弹夹
172译文:	AK47 cartridge
173原文:	M1散弹弹夹
173译文:	M1 shotgun cartridge
174原文:	火神弹夹
174译文:	Vulcan cartridge
175原文:	摇霸弹夹
175译文:	Shake the cartridge on the
176原文:	追杀者弹夹
176译文:	After the cartridge
177原文:	要你命3000弹夹
177译文:	3000 cartridge to your life
178原文:	能量炮弹夹
178译文:	Energy shots clip
179原文:	激光炮弹夹
179译文:	Laser cannon clip
180原文:	僵尸虐杀者弹夹
180译文:	The zombie torture-murderers cartridge
181原文:	超神虐杀者弹夹
181译文:	Super god torture-murderers cartridge
